"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes","comedy","horror","action","drama","scifi","arthouse","documentary","rotten","fresh","cert_fresh"
"3169",3169,"The Forgotten","PG-13","Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",91,"Rotten",32,174,67133509,2004,4.9,3252,0,0,1,1,1,0,0,1,0,0
"3170",3170,"Forks Over Knives","PG","Documentary, Special Interest, Sports & Fitness",96,"Rotten",59,37,739561,2011,7.7,12361,0,0,0,0,0,0,1,1,0,0
"3171",3171,"Formosa Betrayed","R","Action & Adventure, Drama, Mystery & Suspense",108,"Rotten",34,29,225341,2010,6.1,1473,0,0,1,1,0,0,0,1,0,0
"3172",3172,"The Formula","R","Drama, Mystery & Suspense",117,"Rotten",30,10,8894289,1980,5.6,2688,0,0,0,1,0,0,0,1,0,0
"3173",3173,"Forrest Gump","PG-13","Comedy, Drama, Romance",142,"Fresh",71,103,330455270,1994,8.8,2048585,1,0,0,1,0,0,0,0,1,0
"3174",3174,"The Forsaken","R","Horror",90,"Rotten",7,54,7288451,2001,5.2,8810,0,1,0,0,0,0,0,1,0,0
"3175",3175,"Fort McCoy","R","Drama",101,"Rotten",50,6,78948,2014,5.8,404,0,0,0,1,0,0,0,1,0,0
"3176",3176,"Four Brothers","R","Action & Adventure, Drama",108,"Rotten",52,134,74494381,2005,6.8,147129,0,0,1,1,0,0,0,1,0,0
"3177",3177,"Four Christmases","PG-13","Comedy",88,"Rotten",25,145,120146040,2008,5.7,72252,1,0,0,0,0,0,0,1,0,0
"3178",3178,"Four Lions","R","Comedy, Drama",102,"Certified-Fresh",82,137,304616,2010,7.2,78055,1,0,0,1,0,0,0,0,0,1
"3179",3179,"Four Rooms","R","Comedy",102,"Rotten",13,45,4257354,1995,6.7,105126,1,0,0,0,0,0,0,1,0,0
"3180",3180,"Four Weddings and a Funeral","R","Comedy, Drama, Romance",116,"Certified-Fresh",96,69,52700832,1994,7.1,153011,1,0,0,1,0,0,0,0,0,1
"3181",3181,"The Fourth Kind","PG-13","Mystery & Suspense",98,"Rotten",18,115,25486040,2009,5.9,78334,0,0,0,0,0,0,0,1,0,0
"3182",3182,"The Fox and the Hound","G","Animation, Kids & Family",83,"Fresh",70,27,63456988,1981,7.2,93563,0,0,0,0,0,0,0,0,1,0
"3183",3183,"Foxcatcher","R","Drama",134,"Certified-Fresh",87,249,12096300,2014,7,143061,0,0,0,1,0,0,0,0,0,1
"3184",3184,"Fracture","R","Drama, Mystery & Suspense",113,"Certified-Fresh",71,174,39015018,2007,6.3,169,0,0,0,1,0,0,0,0,0,1
"3185",3185,"Frailty","R","Horror, Mystery & Suspense",99,"Certified-Fresh",74,152,13110448,2002,7.2,84475,0,1,0,0,0,0,0,0,0,1
"3186",3186,"Framing John DeLorean","NR","Documentary, Drama",109,"Certified-Fresh",89,47,145625,2019,6.5,2374,0,0,0,1,0,0,1,0,0,1
"3187",3187,"Frances Ha","R","Comedy",85,"Certified-Fresh",92,180,4069826,2013,7.4,83648,1,0,0,0,0,0,0,0,0,1
"3188",3188,"Francofonia","NR","Documentary",87,"Certified-Fresh",87,75,307040,2016,6.6,2858,0,0,0,0,0,0,1,0,0,1
"3189",3189,"Frank","R","Comedy, Drama",95,"Certified-Fresh",92,163,645186,2014,5.1,252,1,0,0,1,0,0,0,0,0,1
"3190",3190,"Frank & Jesse","R","Action & Adventure, Western",106,"Rotten",20,5,50004,1994,5.7,1491,0,0,1,0,0,0,0,1,0,0
"3191",3191,"Frank Serpico","NR","Documentary",99,"Fresh",75,8,11925,2017,6.8,356,0,0,0,0,0,0,1,0,1,0
"3192",3192,"Frankenhooker","R","Comedy, Cult Movies, Horror",88,"Rotten",57,14,205068,1990,6.2,11222,1,1,0,0,0,0,0,1,0,0
"3193",3193,"Frankenweenie","PG","Animation, Comedy, Horror, Science Fiction & Fantasy",87,"Certified-Fresh",87,221,35291068,2012,6.9,107637,1,1,0,0,1,0,0,0,0,1
"3194",3194,"Frankie & Alice","R","Drama, Mystery & Suspense",100,"Rotten",21,33,706546,2010,6.4,5586,0,0,0,1,0,0,0,1,0,0
"3195",3195,"Frankie and Johnny Are Married","R","Comedy, Drama",98,"Fresh",67,21,22900,2004,6,236,1,0,0,1,0,0,0,0,1,0
"3196",3196,"Frankie Starlight","R","Drama",100,"Fresh",71,7,103365,1995,6.5,898,0,0,0,1,0,0,0,0,1,0
"3197",3197,"Frantz","PG-13","Art House & International, Drama",113,"Certified-Fresh",91,138,880883,2017,7.5,15989,0,0,0,1,0,1,0,0,0,1
"3198",3198,"Freak Show","NR","Comedy, Drama",91,"Rotten",52,42,19696,2018,5.8,23,1,0,0,1,0,0,0,1,0,0
"3199",3199,"Freakonomics","PG-13","Documentary, Special Interest",86,"Fresh",66,64,101270,2010,6.3,7542,0,0,0,0,0,0,1,0,1,0
"3200",3200,"Freddy Got Fingered","R","Comedy",87,"Rotten",10,94,14254993,2001,4.6,48933,1,0,0,0,0,0,0,1,0,0
"3201",3201,"Freddy's Dead: The Final Nightmare","R","Horror",90,"Rotten",19,31,34872033,1991,4.7,46765,0,1,0,0,0,0,0,1,0,0
"3202",3202,"Free Birds","PG","Animation, Comedy, Kids & Family",91,"Rotten",20,90,55750480,2013,5.8,24315,1,0,0,0,0,0,0,1,0,0
"3203",3203,"Free Enterprise","R","Action & Adventure, Comedy, Science Fiction & Fantasy",116,"Fresh",83,24,30229,1999,6.7,3292,1,0,1,0,1,0,0,0,1,0
"3204",3204,"Free Fire","R","Action & Adventure, Comedy, Drama",86,"Fresh",69,234,1799312,2017,6.3,47135,1,0,1,1,0,0,0,0,1,0
"3205",3205,"Free Men","NR","Drama",99,"Fresh",76,33,53810,2012,7.5,15,0,0,0,1,0,0,0,0,1,0
"3206",3206,"Free Solo","PG-13","Documentary",100,"Certified-Fresh",97,153,17541090,2018,8.1,68100,0,0,0,0,0,0,1,0,0,1
"3207",3207,"Free State of Jones","R","Action & Adventure, Drama",139,"Rotten",47,187,20810036,2016,6.9,58320,0,0,1,1,0,0,0,1,0,0
"3208",3208,"Free the Nipple","NR","Comedy",79,"Rotten",18,11,4198,2014,3.9,1796,1,0,0,0,0,0,0,1,0,0
"3209",3209,"Free Willy","PG","Action & Adventure, Drama, Kids & Family",111,"Fresh",68,31,77698625,1993,6,76913,0,0,1,1,0,0,0,0,1,0
