"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"1032",1049,"30 Beats","R","Comedy",88,"Rotten",5,22,14693,2012,3.9,1016
"1033",1050,"30 Days of Night","R","Horror",113,"Rotten",51,158,39568996,2007,6.6,176980
"1034",1051,"30 Minutes or Less","R","Comedy",83,"Rotten",45,164,37053924,2011,6.1,101178
"1035",1052,"30 Years to Life","R","Comedy",103,"Fresh",67,9,103540,2002,5.8,282
"1036",1053,"31","R","Horror",102,"Rotten",47,45,779820,2016,5.1,21058
"1037",1054,"360","R","Drama",113,"Rotten",20,75,100343,2012,6.1,16971
"1038",1055,"3 Generations","PG-13","Comedy",94,"Rotten",32,44,155936,2017,5.9,6676
"1039",1056,"3 Ninjas","PG","Comedy",84,"Rotten",32,22,29000301,1992,5.3,21895
"1040",1057,"3 Ninjas: High Noon at Mega Mountain","PG","Comedy",93,"Rotten",0,6,375805,1998,2.9,12662
"1041",1058,"3 Ninjas Kick Back","PG","Comedy",93,"Rotten",15,13,11798854,1994,4.5,9401
"1042",1059,"40 Days and 40 Nights","R","Comedy",94,"Rotten",39,137,37950822,2002,5.6,73807
"1043",1060,"42","PG-13","Drama",128,"Certified-Fresh",80,194,95020213,2013,7.5,95573
"1044",1061,"44 Inch Chest","R","Comedy",95,"Rotten",41,81,39033,2010,5.8,6898
"1045",1062,"45 Years","R","Drama",93,"Certified-Fresh",97,204,4247285,2015,7.1,33355
"1046",1064,"47 Ronin","PG-13","Action",119,"Rotten",16,88,38362475,2013,6.2,160407
"1047",1065,"4 Little Girls","NR","Documentary",102,"Fresh",100,27,130146,1997,7.8,3345
"1048",1066,"50/50","R","Comedy",99,"Certified-Fresh",93,199,35014192,2011,7.6,330313
"1049",1067,"50 First Dates","PG-13","Comedy",96,"Rotten",45,176,120908074,2004,6.8,354593
"1050",1068,"50 to 1","PG-13","Drama",110,"Rotten",29,7,1064454,2014,6.3,2079
"1051",1069,"51 Birch Street","NR","Documentary",88,"Fresh",97,36,84689,2006,7.3,902
"1052",1070,"54","R","Drama",92,"Rotten",17,69,16757163,1998,5.8,33372
"1053",1071,"56 Up","NR","Documentary",143,"Certified-Fresh",99,69,701278,2013,7.9,2326
"1054",1072,"5 Flights Up","PG-13","Drama",92,"Rotten",46,63,1020921,2015,6.2,10641
"1055",1073,"5 to 7","R","Comedy",98,"Fresh",70,56,162685,2015,7.1,20351
"1056",1074,"5B","PG-13","Documentary",95,"Fresh",100,19,40000,2019,7.7,271
"1057",1075,"6 Month Rule","R","Comedy",99,"Rotten",22,9,14057,2012,4.8,715
"1058",1076,"'71","PG-13","Action",99,"Certified-Fresh",96,138,1270847,2015,7.2,56513
"1059",1077,"7 Chinese Brothers","NR","Comedy",75,"Fresh",77,35,28180,2015,5.6,1566
"1060",1078,"8: The Mormon Proposition","R","Documentary",80,"Fresh",64,36,100280,2010,7.1,1250
"1061",1079,"84 Charing Cross Road","PG","Drama",97,"Fresh",87,15,1083486,1987,7.4,10264
"1062",1080,"88 Minutes","R","Drama",107,"Rotten",5,123,17213467,2008,5.9,76561
"1063",1081,"8 Heads in a Duffel Bag","R","Comedy",95,"Rotten",11,19,3602884,1997,5.4,10582
"1064",1082,"8 Mile","R","Drama",110,"Certified-Fresh",75,213,116750901,2002,7.2,288119
"1065",1083,"8 Seconds","PG-13","Drama",104,"Rotten",31,13,19623396,1994,6.5,5314
"1066",1084,"8MM","R","Action",123,"Rotten",21,84,36663315,1999,6.5,133740
"1067",1085,"11-Sep","R","Drama",90,"Rotten",11,9,170000,2017,8.5,8327
"1068",1086,"95 Miles to Go","R","Comedy",77,"Rotten",36,22,3195,2006,5.9,167
"1069",1087,"$9.99 ","R","Comedy",78,"Certified-Fresh",73,55,52384,2008,6.7,3345
"1070",1088,"99 Homes","R","Drama",110,"Certified-Fresh",93,155,1411927,2015,7.1,34172
"1071",1089,"The Rum Diary","R","Comedy",119,"Rotten",52,168,13109815,2011,6.1,105341
"1072",1090,"A Good Old Fashioned Orgy","R","Comedy",95,"Rotten",35,65,200227,2011,6.1,22835
"1073",1091,"A Little Help","R","Comedy",109,"Rotten",41,44,96868,2011,5.6,3428
"1074",1092,"A Rumor of Angels","PG-13","Drama",106,"Rotten",34,29,38610,2002,6.8,1581
"1075",1093,"A Troll in Central Park","G","Science Fiction",76,"Rotten",14,7,71368,1994,5.3,6833
"1076",1094,"A Wink and a Smile","NR","Documentary",91,"Rotten",40,15,20169,2009,7,105
"1077",1095,"A Bad Moms Christmas","R","Comedy",104,"Rotten",32,129,72110659,2017,5.5,50726
"1078",1096,"A Band Called Death","NR","Documentary",98,"Certified-Fresh",94,52,127257,2013,7.5,3851
"1079",1097,"A Better Life","PG-13","Drama",98,"Certified-Fresh",85,107,1759252,2011,10,55
"1080",1098,"A Bigger Splash","R","Drama",125,"Certified-Fresh",90,181,2024099,2016,5.7,493
"1081",1099,"A Bird of the Air","PG-13","Comedy",98,"Rotten",30,10,10152,2011,6.5,1336
"1082",1100,"A Boy Called Po","PG","Drama",94,"Rotten",31,13,4550,2017,6.6,1837
"1083",1101,"A Brother's Kiss","R","Drama",92,"Fresh",100,5,52632,1997,6,388
"1084",1102,"A Case of You","R","Comedy",92,"Rotten",47,19,4187,2013,5.6,11970
"1085",1103,"A Ciambra","NR","Drama",118,"Certified-Fresh",89,56,41934,2018,6.9,2627
"1086",1104,"A Dangerous Method","R","Drama",99,"Certified-Fresh",78,189,5704709,2011,6.4,103930
"1087",1105,"Adrift","NR","Drama",97,"Fresh",71,14,31445012,2018,5.5,360
"1088",1106,"A Dog's Journey","PG","Drama",108,"Rotten",50,84,22546590,2019,7.4,24846
"1089",1107,"A Dog's Purpose","PG","Comedy",120,"Rotten",35,147,64508620,2017,7.2,72602
"1090",1108,"A Dog's Way Home","PG","Drama",96,"Rotten",59,79,42004346,2019,6.7,18237
"1091",1109,"A Field in England","NR","Horror",90,"Certified-Fresh",86,72,32846,2014,6.2,12887
"1092",1110,"A Fierce Green Fire","NR","Documentary",101,"Fresh",70,20,29817,2013,7,225
"1093",1111,"A Four Letter Word","NR","Comedy",87,"Rotten",53,17,72568,2008,5.3,885
"1094",1112,"A Ghost Story","R","Drama",90,"Certified-Fresh",91,274,1596371,2017,6.8,72371
"1095",1113,"A Girl Walks Home Alone at Night","NR","Horror",105,"Certified-Fresh",96,133,491910,2014,6.9,35496
"1096",1114,"A Glimpse Inside the Mind of Charles Swan III","R","Comedy",85,"Rotten",16,56,45350,2013,4.6,5404
"1097",1115,"A Guide to Recognizing Your Saints","R","Drama",104,"Certified-Fresh",76,94,517809,2006,6.9,25937
"1098",1116,"A Guy Thing","PG-13","Comedy",101,"Rotten",24,102,15545431,2003,5.6,17510
"1099",1117,"A Hard Day","NR","Action",110,"Fresh",83,35,19004,2015,6.3,158
"1100",1118,"A Haunted House","R","Comedy",86,"Rotten",9,53,40041683,2013,5,47067
"1101",1119,"A Haunted House 2","R","Comedy",87,"Rotten",8,40,17329486,2014,4.6,21878
"1102",1120,"A Hologram for the King","R","Drama",97,"Fresh",71,148,4212494,2016,6.1,44918
"1103",1121,"A Jihad for Love","NR","Documentary",81,"Fresh",78,32,105651,2008,6.4,696
"1104",1122,"A Kid Like Jake","NR","Drama",92,"Rotten",49,49,58403,2018,5.5,3642
"1105",1123,"A Kind of Murder","R","Drama",98,"Rotten",35,17,2915,2016,5.3,7941
"1106",1124,"A Late Quartet","R","Drama",105,"Certified-Fresh",76,113,1562546,2012,7.1,14724
"1107",1125,"A League of Ordinary Gentlemen","R","Comedy",93,"Fresh",91,34,18807,2005,7,384
"1108",1126,"A Little Chaos","R","Drama",116,"Rotten",48,92,558173,2015,6.5,23495
"1109",1127,"A Long Way Down","R","Comedy",96,"Rotten",22,54,13347,2014,6.3,33454
"1110",1128,"A Man Named Pearl","G","Documentary",78,"Fresh",75,32,208392,2007,7.9,335
"1111",1129,"A Master Builder","PG","Documentary",127,"Fresh",82,33,46874,2014,5.9,957
"1112",1130,"A Million Ways to Die in the West","R","Comedy",115,"Rotten",33,207,43139300,2014,6.1,189264
"1113",1131,"A Monster Calls","PG-13","Comedy",108,"Certified-Fresh",86,262,3740823,2016,7.4,88551
"1114",1132,"A Most Violent Year","R","Action",124,"Certified-Fresh",89,224,5749134,2014,7,72852
"1115",1133,"A Most Wanted Man","R","Drama",121,"Certified-Fresh",87,193,17237855,2014,6.7,76665
"1116",1134,"The Notebook","R","Drama",110,"Fresh",67,36,81001787,2004,7.8,569017
"1117",1135,"A Nightmare on Elm Street 3: Dream Warriors","R","Horror",95,"Fresh",72,36,44793222,1987,6.6,81479
"1118",1136,"A Nightmare on Elm Street 4: The Dream Master","R","Horror",93,"Rotten",53,30,49369899,1988,5.6,56211
"1119",1137,"A Perfect Day","R","Drama",106,"Fresh",72,57,14044,2016,5.8,213
"1120",1138,"A Perfect Getaway","R","Action",97,"Fresh",62,137,15515460,2009,6.5,73025
"1121",1139,"A Perfect Man","R","Comedy",95,"Rotten",20,5,7117,2013,5.2,2123
"1122",1140,"A Place at the Table","PG","Documentary",84,"Certified-Fresh",90,61,231378,2013,6.6,31
"1123",1141,"A Plumm Summer","PG","Comedy",99,"Rotten",20,10,63521,2008,5.9,416
"1124",1142,"A Prayer for the Dying","R","Action",106,"Rotten",55,11,1432687,1987,6.2,5209
"1125",1143,"A Private Function","R","Comedy",93,"Fresh",88,8,2527088,1985,6.5,2923
"1126",1144,"A Private War","R","Drama",110,"Certified-Fresh",88,141,1633208,2018,6.7,19546
"1127",1145,"A Quiet Passion","PG-13","Drama",125,"Certified-Fresh",91,176,1865396,2017,6.5,5825
"1128",1146,"A Quiet Place","PG-13","Horror",90,"Certified-Fresh",96,373,188024361,2018,7.1,48
"1129",1147,"A Royal Night Out","PG-13","Drama",97,"Certified-Fresh",74,73,228136,2015,6.5,10401
"1130",1148,"A Serious Man","R","Comedy",105,"Certified-Fresh",90,223,9228768,2009,7,142902
"1131",1150,"A Single Shot","R","Drama",116,"Rotten",49,49,18642,2013,5.7,11060
"1132",1151,"A Smile Like Yours","R","Comedy",98,"Rotten",6,35,3330352,1997,4.8,1487
"1133",1152,"A Space Program","NR","Drama",72,"Fresh",87,15,13739,2016,6.3,75
"1134",1153,"A Street Cat Named Bob","NR","Comedy",103,"Certified-Fresh",77,65,82703,2016,7.3,31437
"1135",1154,"A Tale of Love and Darkness","PG-13","Drama",98,"Fresh",71,66,572212,2016,6,4074
"1136",1155,"A Teacher","NR","Drama",75,"Rotten",34,32,8348,2013,4.8,5089
"1137",1156,"The A-Team","PG-13","Comedy",118,"Rotten",48,215,77222099,2010,6.7,259091
"1138",1157,"A Thousand Words","PG-13","Comedy",91,"Rotten",0,58,18450127,2012,5.8,42909
"1139",1158,"A Thousand Years of Good Prayers","NR","Drama",83,"Fresh",79,38,76806,2008,6.7,1129
"1140",1159,"A Tuba to Cuba","NR","Documentary",84,"Fresh",100,11,121772,2019,7.2,169
"1141",1160,"A United Kingdom","NR","Drama",111,"Certified-Fresh",84,163,3902185,2017,6.9,16244
"1142",1161,"A Walk Among the Tombstones","R","Action",114,"Fresh",68,161,26307600,2014,6.5,121893
"1143",1162,"A Whale of a Tale","NR","Documentary",95,"Fresh",88,17,6747,2018,7.6,113
