"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"4933","Mother Night",403701,"R",1996,"114",7.1,63,5302,27
"4934","Motherhood",93388,"PG-13",2009,"90",4.6,20,4614,51
"4935","Mother's Day",32492859,"R",2016,"91",5.3,42,5456,12
"4936","The Mothman Prophecies",35746370,"PG-13",2002,"119",6.4,52,80831,140
"4937","Motorama",10535,"R",1993,"90",6.2,60,1984,5
"4938","Moulin Rouge!",57386607,"PG-13",2001,"127",7.6,76,284966,199
"4939","Mountains of the Moon",4011793,"R",1990,"136",7.1,67,3882,15
"4940","Mousehunt",61917389,"PG",1997,"98",6.5,42,56913,31
"4941","Mouth to Mouth",2150,"NR",2006,"96",7.3,54,67,28
"4942","Movie 43",8840453,"R",2013,"94",4.3,4,106094,89
"4943","Moving McAllister",42538,"PG-13",2007,"89",5.2,10,3828,10
"4944","Moving Midway",40864,"NR",2008,"95",7.2,100,175,25
"4945","Mr. Right",34694,"NR",2016,"81",5.6,14,13,14
"4946","Mr. 3000",21811187,"PG-13",2004,"104",5.6,55,14603,113
"4947","Mr. Baseball",20883046,"PG-13",1992,"108",6,13,11539,16
"4948","Mr. Bean's Holiday",33302167,"PG",2007,"90",6.4,52,126429,114
"4949","Mr. Brooks",28549298,"R",2007,"120",7.3,55,150961,160
"4950","Mr. Church",685780,"PG-13",2016,"104",7.6,24,28866,33
"4951","Mr. Deeds",126293452,"PG-13",2002,"96",5.8,22,144930,156
"4952","Mr. Destiny",15379253,"PG-13",1990,"116",6.4,38,12546,16
"4953","Mr. Holland's Opus",82569971,"PG",1995,"143",7.3,75,39632,28
"4954","Mr. Holmes",17737646,"PG",2015,"104",6.8,88,64905,186
"4955","Mr. Jealousy",301796,"R",1998,"103",6.3,71,2365,14
"4956","Mr. Jones",8345845,"R",1993,"114",5.8,46,7284,13
"4957","Mr. Magoo",21437192,"PG",1997,"87",4,7,15389,30
"4958","Mr. Magorium's Wonder Emporium",32061555,"G",2007,"93",6.2,38,46013,125
"4959","Mr. Mom",64783827,"PG",1983,"91",6.6,82,24959,22
"4960","Mr. Nanny",4348572,"PG",1993,"84",3.8,6,9528,16
"4961","Mr. Nobody",3622,"R",2013,"141",7.8,68,232906,31
"4962","Mr. North",1221366,"PG",1988,"93",5.9,50,1515,8
"4963","Mr. Peabody & Sherman",111506430,"PG",2014,"92",6.8,81,70705,137
"4964","Mr. Pip",1714,"PG-13",2014,"116",7,47,4176,17
"4965","Mr. Popper's Penguins",68224452,"PG",2011,"94",6,47,97501,144
"4966","Mr. Saturday Night",13351357,"R",1992,"119",5.9,58,6091,26
"4967","Mr. Turner",3958500,"R",2014,"150",6.8,97,25958,193
"4968","Mr. Wonderful",3125424,"PG-13",1993,"98",5.8,52,3380,21
"4969","Mr. Woodcock",25799486,"PG-13",2007,"87",5.2,14,36194,111
"4970","Mr. Wrong",12825141,"PG-13",1996,"88",5.2,7,236,29
"4971","Mrs. Doubtfire",219195243,"PG-13",1993,"125",7.1,71,267658,52
"4972","Mrs. Henderson Presents",11036366,"R",2005,"103",7,67,15820,144
"4973","Mrs. Palfrey at the Claremont",1720953,"G",2005,"108",7.6,70,3479,60
"4974","Mrs. Winterbourne",10082005,"PG-13",1996,"105",6.2,10,7840,30
"4975","Mud",21590086,"PG-13",2013,"130",7.4,97,179716,181
"4976","Mugabe and the White African",7924,"NR",2010,"94",7.7,97,954,36
"4977","Mulan",120620254,"G",1998,"88",7.6,86,286435,77
"4978","Border Run",103804407,"NR",2018,"96",4.2,87,1861,31
"4979","Mulholland Drive",7220243,"R",2001,"60",7.5,83,59,180
"4980","Mulholland Falls",11526099,"R",1996,"107",6.3,31,17652,32
"4981","Multiple Sarcasms",29731,"R",2010,"97",4.7,9,692,22
"4982","Multiplicity",21075014,"PG-13",1996,"117",6.1,43,33177,46
"4983","Mumford",4555459,"R",1999,"112",6.8,57,9270,81
"4984","Mumia: Long Distance Revolutionary",37731,"NR",2013,"120",7.2,50,469,18
"4985","The Mummy Returns",202019785,"PG-13",2001,"130",6.4,47,324565,140
"4986","The Mummy: Tomb of the Dragon Emperor",102491776,"PG-13",2008,"112",5.2,12,161238,177
"4987","Munich",47403685,"R",2005,"164",7.5,78,227168,210
"4988","The Muppet Christmas Carol",27281507,"G",1992,"85",7.7,76,58291,49
"4989","Muppet Treasure Island",34327391,"G",1996,"99",6.9,73,24442,26
"4990","Muppets Most Wanted",51183113,"PG",2014,"107",6.4,80,34797,199
"4991","The Muppets Take Manhattan",25534703,"G",1984,"94",6.8,83,21520,23
"4992","Murder at 1600",25804707,"R",1997,"107",6.1,33,31161,33
"4993","Murder in the First",17381942,"R",1995,"122",7.3,50,28687,36
"4994","Muriel's Wedding",15119639,"R",1995,"106",7.2,78,39283,41
"4995","Murphy's Law",9947631,"R",1986,"100",5.9,40,5706,5
"4996","Murphy's Romance",30867525,"PG-13",1985,"107",7,73,6338,26
"4997","Muscle Shoals",696241,"PG",2013,"111",7.8,97,3973,86
"4998","The Muse",11614954,"PG-13",1999,"97",5.7,53,11010,78
"4999","Museum Hours",561457,"NR",2013,"107",6.9,94,2157,70
"5000","Music and Lyrics",50572589,"PG-13",2007,"104",6.5,63,103471,168
"5001","Music of the Heart",14859394,"PG",1999,"124",6.7,63,12763,90
"5002","Music Within",154087,"R",2007,"94",7.2,33,5807,42
"5003","Must Love Dogs",43894863,"PG-13",2005,"98",5.9,36,32098,151
"5004","Mustang",845464,"PG-13",2015,"\N",6.8,97,33,149
