"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"2365","Continental Divide",15578237,"PG",1981,"103",6.2,70,5159,10
"2366","Contracted",4105,"NR",2013,"84",5.3,53,15404,17
"2367","Control",872252,"R",2007,"104",6.2,88,7681,116
"2368","Conviction",6783129,"R",2010,"99",6.3,67,359,190
"2369","Cookie",1869417,"R",1989,"94",5.4,15,1377,13
"2370","Cookie's Fortune",10920544,"PG-13",1999,"118",6.8,86,13389,57
"2371","The Cookout",11814019,"PG-13",2004,"97",3.7,5,3041,42
"2372","Cool as Ice",1193062,"PG",1991,"91",2.9,6,9747,18
"2373","Cool It",62713,"PG",2010,"87",7,52,856,44
"2374","The Cooler",8291572,"R",2003,"101",6.9,77,34336,174
"2375","Cooties",60058,"R",2015,"\N",7.1,45,10,42
"2376","Cop",1984315,"R",1987,"110",6.4,83,5499,18
"2377","Cop Car",134552,"R",2015,"88",6.3,80,33649,86
"2378","Cop Land",44862187,"R",1997,"105",7,75,95942,65
"2379","Cop Out",44875481,"R",2010,"107",5.5,19,88366,162
"2380","Copperhead",171740,"PG-13",2013,"90",3.8,21,648,19
"2381","Coraline",75286229,"PG",2009,"100",7.7,90,226148,268
"2382","The Core",31186896,"PG-13",2003,"135",5.5,40,100759,157
"2383","Coriolanus",757195,"R",2012,"150",5.3,92,8,153
"2384","Corky Romano",23980304,"PG-13",2001,"86",4.7,7,13301,84
"2385","Corrina, Corrina",20164171,"PG",1994,"115",6.6,39,13514,18
"2386","The Corruptor",15164492,"R",1999,"110",6,48,18524,48
"2387","Cosmopolis",763556,"R",2012,"109",5.1,65,47903,184
"2388","The Cotton Club",25928721,"R",1984,"129",6.5,76,18228,29
"2389","The Couch Trip",11005304,"R",1988,"97",5.8,33,5213,9
"2390","Countdown to Zero",272040,"PG",2010,"89",6.9,79,2254,87
"2391","The Country Bears",16990825,"G",2002,"88",4.2,31,5698,85
"2392","Country Strong",20218921,"PG-13",2010,"117",6.3,22,18326,134
"2393","Couples Retreat",109204945,"PG-13",2009,"113",5.5,10,108942,163
"2394","Courage Under Fire",59031057,"R",1996,"116",6.6,85,55384,54
"2395","Courageous",34522221,"PG-13",2011,"130",6.8,36,20755,22
"2396","Court",22898,"NR",2015,"116",7.6,98,4863,58
"2397","Cousins",22026369,"PG-13",1989,"113",6.3,50,4807,8
"2398","The Covenant",23380495,"PG-13",2006,"97",5.1,4,49729,74
"2399","Cover",79436,"PG-13",2008,"98",5.2,0,650,12
"2400","Cowboys & Aliens",100240551,"PG-13",2011,"119",6,44,221454,256
"2401","Coyote Ugly",60786269,"PG-13",2000,"100",5.7,23,115533,103
"2402","CQ",414358,"R",2002,"88",6.2,66,4938,76
"2403","Cracks",29683,"R",2011,"104",6.6,43,20229,49
"2404","Cradle 2 the Grave",34712347,"R",2003,"101",5.8,25,45162,122
"2405","Cradle Will Rock",2903404,"R",1999,"132",6.8,64,9289,72
"2406","The Craft",24819936,"R",1996,"101",6.4,56,94031,57
"2407","Crank",27838408,"R",2006,"88",6.9,61,249717,94
"2408","Crawl",34550773,"NR",2019,"80",4.6,63,1277,8
"2409","Crazy as Hell",21679,"R",2002,"113",5.8,53,1080,15
"2410","Crazy Eyes",6141,"NR",2012,"95",4,25,573,20
"2411","Crazy Heart",39464306,"R",2009,"112",7.2,90,90145,209
"2412","Crazy Horse",157782,"NR",2012,"90",6.4,85,440,55
"2413","Crazy in Alabama",2005840,"PG-13",1999,"111",6.2,30,7077,56
"2414","Crazy Love",301027,"PG-13",2007,"90",6.8,79,1261,89
"2415","Crazy on the Outside",88335,"PG-13",2010,"96",5.5,8,6407,12
"2416","Crazy People",13236513,"R",1990,"90",6,37,4682,19
"2417","Crazy Rich Asians",174532921,"PG-13",2018,"120",6.9,91,171685,352
"2418","Crazy, Stupid, Love.",84351197,"PG-13",2011,"118",7.4,79,518212,236
"2419","Creative Control",63014,"R",2016,"97",5.3,60,2212,55
"2420","Creator",5349607,"R",1985,"107",6.1,38,3301,13
"2421","Creed",109767581,"PG-13",2015,"77",6.8,95,18,306
"2422","Creed II",115715889,"PG-13",2018,"130",7.1,83,124619,303
"2423","Creepshow",21028755,"R",1982,"120",6.8,73,48003,37
"2424","Creepshow 2",14000000,"R",1987,"92",6,30,25847,23
"2425","Crime After Crime",60291,"NR",2011,"95",7.6,91,550,34
"2426","Crimes of Passion",2912945,"R",1984,"107",6.3,36,7386,11
"2427","Crimes of the Heart",22905522,"PG-13",1986,"105",6.3,81,4201,21
"2428","Criminal Law",9974446,"R",1989,"117",5.6,33,4225,9
"2429","Crimson Peak",31090320,"R",2015,"119",6.5,72,147996,276
"2430","Crimson Tide",91387195,"R",1995,"116",7.3,88,113176,51
"2431","Critical Care",221193,"PG-13",1997,"107",5.9,59,2136,17
"2432","Critters",13167232,"PG-13",1986,"86",6.1,52,35809,21
"2433","Crocodile Dundee",174803506,"PG-13",1986,"97",6.6,88,105624,32
"2434","Crocodile Dundee II",109306210,"PG",1988,"108",5.7,10,57679,31
"2435","Crocodile Dundee in Los Angeles",25635682,"PG",2001,"95",4.8,11,25075,81
"2436","Cronos",621392,"R",1994,"94",6.7,91,30542,54
"2437","Crooked Arrows",1832541,"PG-13",2012,"105",5.9,41,1988,27
"2438","Crooklyn",13642861,"PG-13",1994,"115",7,77,10555,30
"2439","Cropsey",52476,"NR",2010,"84",6.3,91,8548,45
"2440","Crossing Delancey",16262415,"PG",1988,"97",6.9,88,4413,25
"2441","The Crossing Guard",868979,"R",1995,"111",6.3,75,13759,28
"2442","Crossing Over",455654,"R",2009,"113",6.7,16,23721,109
"2443","Crossing the Line",9258,"NR",2007,"94",5.9,90,115,21
"2444","Crossover",7009668,"PG-13",2006,"\N",4.5,2,17,65
"2445","The Crow",50693129,"R",1994,"102",7.5,83,183789,58
"2446","The Crow: City of Angels",17917287,"R",1996,"84",4.6,12,20511,34
"2447","Crown Heights",238558,"R",2017,"93",5.5,77,147,83
"2448","Cruel Intentions",38773785,"R",1999,"97",6.8,54,192257,114
"2449","Cruising",19798718,"R",1980,"102",6.5,50,23852,52
"2450","Crumb",3041083,"R",1995,"119",8,95,20449,43
"2451","Crusoe",315421,"PG-13",1989,"91",6.1,67,1100,6
"2452","Cry-Baby",8266343,"PG-13",1990,"85",6.4,73,60885,55
"2453","Cry Freedom",5899797,"PG",1987,"157",7.4,76,13608,25
"2454","The Crying Game",62548947,"R",1992,"112",7.2,94,55865,67
"2455","Cthulhu",15513,"R",2008,"100",4.5,62,2131,13
"2456","Cuban Fury",92384,"R",2014,"98",6.2,54,19217,96
"2457","Cube",501818,"R",1998,"90",7.2,63,230584,38
"2458","Cujo",21156152,"R",1983,"93",6,63,46129,40
"2459","Cupcakes",9129,"NR",2015,"92",5.9,78,637,23
"2460","Curdled",49620,"R",1996,"88",5.9,17,5329,12
"2461","The Curious Case of Benjamin Button",127509326,"PG-13",2008,"166",7.8,72,646453,254
"2462","Curly Sue",33691313,"PG",1991,"101",5.8,13,21909,15
"2463","The Curse of the Jade Scorpion",7517191,"PG-13",2001,"103",6.7,46,40908,123
"2464","Curse of the Pink Panther",4491986,"PG",1983,"109",4.3,29,6149,14
"2465","Cut Sleeve Boys",13875,"R",2007,"86",6,42,487,12
"2466","Cut Snake",1625,"R",2015,"94",5.9,69,1380,16
"2467","Cutter's Way",1729274,"R",1981,"109",6.8,91,6771,23
"2468","Cutthroat Island",10017322,"PG-13",1995,"124",5.7,38,28413,40
"2469","Cyrano de Bergerac",5820020,"PG",1990,"113",7.4,78,4165,27
"2470","Cyrus",7468936,"R",2010,"87",4.5,80,1073,156
"2471","D2: The Mighty Ducks",45610410,"PG",1994,"106",6.1,20,40677,15
"2472","D3: The Mighty Ducks",22955097,"PG",1996,"104",5.4,20,27180,15
"2473","The D Train",673151,"R",2015,"101",5.1,53,11103,133
"2474","The Da Vinci Code",217536138,"PG-13",2006,"149",6.6,26,431723,231
"2475","Dabangg",1288549,"NR",2010,"126",6.2,60,32683,5
"2476","Dad",22103037,"PG",1989,"117",6.3,60,5025,10
"2477","Daddy Day Camp",13235267,"PG",2007,"89",3.1,1,16944,81
"2478","Daddy Day Care",104297061,"PG",2003,"92",5.6,27,68961,132
"2479","Daddy's Home 2",104029443,"PG-13",2017,"100",6,21,73427,129
"2480","Daddy's Home",150357137,"PG-13",2015,"96",6.1,31,119905,121
"2481","Dahmer",144008,"R",2002,"101",5.6,69,10534,39
"2482","Dalida",3465,"NR",2017,"200",6.6,33,341,6
"2483","Dallas Buyers Club",27298285,"R",2013,"117",7.9,93,485851,257
"2484","Damage",7532911,"R",1992,"111",6.7,78,18534,23
"2485","The Damned United",449865,"R",2009,"98",7.5,92,44137,138
"2486","Damsel",305136,"R",2018,"66",6.5,67,33,112
"2487","Damsels in Distress",1008455,"PG-13",2012,"99",5.8,75,9636,143
"2488","Dan in Real Life",47642963,"PG-13",2007,"98",6.8,65,103222,170
"2489","Dance Flick",25662155,"PG-13",2009,"83",3.5,18,12379,96
"2490","Dance Me Outside",66229,"R",1995,"84",7,69,1239,13
"2491","Dance with Me",15923122,"PG",1998,"126",5.9,51,6541,43
"2492","Dancer",71917,"NR",2016,"150",3.7,88,647,33
"2493","Dancer in the Dark",4184036,"R",2000,"140",7.9,69,110077,121
"2494","Dancer, Texas Pop. 81",676631,"PG",1998,"97",6.7,80,2535,15
"2495","The Dancer Upstairs",2377348,"R",2003,"132",6.9,64,6671,114
"2496","Dancing Across Borders",66166,"NR",2010,"88",6.4,57,124,21
"2497","Dancing at Lughnasa",2287818,"PG",1998,"95",6.3,64,3818,33
"2498","Dancing at the Blue Iguana",67913,"R",2001,"123",5.7,23,3973,22
"2499","Dangerous Beauty",4553271,"R",1998,"111",7.1,68,17910,28
"2500","The Dangerous Lives of Altar Boys",1815864,"R",2002,"104",6.9,77,13778,111
"2501","Dangerous Minds",84919401,"R",1995,"99",6.5,29,53191,41
"2502","A Dangerous Woman",1497222,"R",1993,"80",5.4,50,52,12
"2503","Daniel",687475,"R",1983,"84",5.6,43,21,7
"2504","Daniel and Ana",2372,"NR",2010,"90",6.1,56,1750,9
"2505","Danny Collins",5637066,"R",2015,"106",7,77,31851,132
"2506","Danny Deckchair",160276,"PG-13",2004,"100",6.7,55,5063,77
"2507","Danny Says",44213,"NR",2016,"105",6.7,74,817,31
"2508","Unleashed",24537621,"R",2005,"84",5.9,66,108,134
"2509","Dante's Peak",67127760,"PG-13",1997,"108",6,26,91186,31
"2510","Dare",18088,"R",2009,"\N",5.4,57,15,21
"2511","Daredevil",102543518,"PG-13",2003,"103",5.3,44,220289,229
"2512","The Darjeeling Limited",11902715,"R",2007,"91",7.2,69,199678,192
"2513","Dark Shadows",79727149,"PG-13",2012,"60",5.6,36,154,255
"2514","Dark Blue",9250301,"R",2003,"118",6.6,59,22517,133
"2515","Dark City",14378331,"R",1998,"98",6.7,76,2460,85
"2516","The Dark Crystal",41613957,"PG",1982,"93",7.1,79,67164,47
"2517","Dark Days",309648,"NR",2000,"82",7.7,94,6912,68
"2518","The Dark Half",10611160,"R",1993,"122",6,58,17870,33
"2519","Dark Horse",166228,"NR",2012,"98",7.8,70,894,79
"2520","Dark Matter",30591,"R",2008,"88",6,40,3502,40
"2521","X-Men: Dark Phoenix",65687489,"PG-13",2019,"113",5.7,22,186061,370
"2522","Dark Places",208588,"R",2015,"91",5.6,23,762,82
"2523","Dark River",7714,"NR",2018,"90",5.8,80,4014,59
"2524","Dark Skies",17418667,"PG-13",2013,"\N",6.8,41,18,93
"2525","Darkest Hour",56468410,"PG-13",2017,"96",4.3,84,97,312
"2526","Darkman",33878502,"R",1990,"96",6.4,84,65030,61
"2527","Darkness",22163442,"PG-13",2004,"88",5.4,4,19730,55
"2528","Darkness Falls",32551396,"PG-13",2003,"90",5.5,9,553,130
"2529","Darling Companion",793815,"PG-13",2012,"103",5.1,21,3521,91
"2530","D.A.R.Y.L.",7840873,"PG",1985,"99",6.2,53,13254,17
"2531","Date Night",98711404,"PG-13",2010,"88",6.3,66,163340,230
"2532","Date with an Angel",1988962,"PG",1987,"105",5.6,14,2852,7
"2533","Daughters of the Dust",1683422,"PG",1992,"113",6.7,98,2667,43
"2534","Dave",63270710,"PG-13",1993,"110",6.8,95,53904,60
"2535","David & Layla",120750,"R",2007,"106",5.5,53,876,19
"2536","Dawn of the Dead",59020957,"R",2004,"127",7.8,75,120653,188
"2537","The Day After Tomorrow",186740799,"PG-13",2004,"124",6.4,44,447098,221
"2538","Day Zero",16659,"R",2008,"92",5.9,24,2870,21
"2539","Daybreakers",30101577,"R",2010,"98",6.4,69,129363,154
"2540","Daylight",33023469,"PG-13",1996,"114",5.9,27,73278,41
"2541","Days and Nights",13243,"NR",2014,"92",4.6,0,1059,13
"2542","Days of Glory",320700,"R",2006,"86",6.1,83,1365,86
"2543","Days of Thunder",82670733,"R",1990,"107",6.1,38,89254,65
"2544","The Daytrippers",2099677,"R",1997,"87",7,73,5856,26
"2545","Dazed and Confused",7993039,"R",1993,"103",7.6,92,183906,62
"2546","D.C. Cab",16134627,"R",1983,"100",5.5,14,4917,7
"2547","Dylan Dog: Dead of Night",1186538,"PG-13",2011,"108",5.1,7,15206,44
"2548","Dead Again",38016380,"R",1991,"107",6.8,83,28573,47
"2549","Dead Bang",8125592,"R",1989,"102",6.1,33,4107,12
"2550","Dead Calm",7825009,"R",1989,"96",6.8,83,40901,29
"2551","Dead Man",1037847,"R",1996,"121",7.5,71,97501,52
"2552","Dead Man Down",10895295,"R",2013,"118",6.4,40,68266,105
"2553","Dead Man on Campus",15064946,"R",1998,"96",6,15,15837,46
"2554","Dead Man's Burden",29634,"NR",2013,"93",5.5,74,671,19
"2555","Dead Man's Shoes",6408,"NR",2006,"70",7.9,58,30,45
"2556","Dead Men Don't Wear Plaid",18196170,"PG",1982,"88",6.8,79,22152,24
"2557","Dead of Winter",2413427,"R",1987,"100",6.2,77,4226,13
"2558","Dead or Alive: Final",2591,"NR",2002,"89",5.6,42,2641,12
"2559","Dead Poets Society",95860116,"PG",1989,"128",8.1,84,485212,57
"2560","The Dead Pool",37903295,"R",1988,"91",6.2,55,46166,31
"2561","Dead Ringers",8038508,"R",1988,"116",7.2,83,47594,41
"2562","Dead Silence",16809076,"R",2007,"92",5.4,20,299,80
"2563","The Dead Zone",20766616,"R",1983,"103",7.2,89,70341,47
"2564","Deadline",141211,"PG-13",1987,"57",7.5,0,25,9
"2565","Deadly Blessing",8279042,"R",1981,"100",5.5,14,6152,7
"2566","Deadly Friend",8988731,"R",1986,"91",5.5,8,7907,12
"2567","Deadpool",363070709,"R",2016,"108",8,85,1023211,342
"2568","Deadpool 2",324591735,"R",2018,"119",7.7,83,572884,412
"2569","Deadtime Stories",2750741,"R",1986,"93",4.6,0,2195,5
"2570","Deal of the Century",10369581,"PG",1983,"99",4.6,11,3889,9
"2571","Dealt",30414,"NR",2017,"85",7.5,96,1858,25
"2572","Dear Frankie",1341332,"PG-13",2005,"105",7.7,81,21933,112
"2573","Dear God",7138523,"PG",1996,"112",5.4,12,4059,34
"2574","Dear Jesse",17744,"NR",1998,"82",7,86,156,7
"2575","Dear John",80014842,"PG-13",2010,"108",4.5,29,29,136
"2576","Dear Mr. Watterson",23899,"NR",2013,"89",6.3,62,1917,34
"2577","Dear Wendy",23106,"NR",2005,"105",6.5,36,10243,64
"2578","Dear White People",4404154,"R",2014,"108",6.1,91,27134,133
"2579","Death and the Maiden",3103716,"R",1994,"103",7.3,82,25067,50
"2580","Death Becomes Her",58422650,"PG-13",1992,"104",6.6,54,118888,50
"2581","Death by China",38492,"NR",2012,"78",5.4,38,489,13
"2582","Death Defying Acts",5665,"PG",2008,"97",5.8,42,10208,38
"2583","Death House",23833,"R",2018,"90",4.1,40,527,5
"2584","Death of a President",519086,"R",2006,"97",6.3,38,6988,100
"2585","Death Race",36316032,"R",2008,"90",6.2,42,316,159
"2586","Death Sentence",9534258,"R",2007,"74",5.4,20,321,113
"2587","Death to Smoochy",8364691,"R",2002,"109",6.3,42,40695,119
"2588","Death Wish 3",16116878,"R",1985,"92",5.8,11,15796,18
"2589","Death Wish 4: The Crackdown",6880310,"R",1987,"99",5.4,14,9978,7
"2590","Death Wish II",16100000,"R",1982,"89",5.9,33,16337,18
"2591","Death Wish: The Face of Death",1702394,"R",1994,"95",4.8,0,7981,5
"2592","Deathtrap",19282134,"PG",1982,"116",7,71,13649,17
"2593","D.E.B.S.",97446,"PG-13",2005,"91",5.3,39,16189,61
"2594","Deceiver",572433,"R",1998,"106",6.5,48,6649,27
"2595","December Boys",50715,"PG-13",2007,"105",6.5,41,12140,70
"2596","Deceptive Practice: The Mysteries and Mentors of Ricky Jay",152791,"NR",2013,"88",7.1,92,973,39
"2597","Deck the Halls",35093569,"PG",2006,"87",5.3,6,383,84
"2598","The Decline of Western Civilization Part II: The Metal Years",373743,"R",1988,"93",7.2,90,3939,10
"2599","Decoding Annie Parker",48390,"R",2014,"91",6.2,56,3203,25
"2600","Decoding Deepak",9100,"NR",2012,"83",5.5,55,127,11
"2601","Dedication",92853,"R",2007,"95",6.6,40,7059,45
"2602","The Deep End",8823109,"R",2001,"101",6.5,82,11680,119
"2603","The Deep End of the Ocean",13898649,"PG-13",1999,"106",6.3,43,14740,35
"2604","Deep Impact",140464664,"PG-13",1998,"120",6.2,45,178887,86
"2605","Deep Rising",11203026,"R",1998,"106",6.1,28,37534,32
"2606","Deepwater Horizon",61433527,"PG-13",2016,"107",7.1,83,168851,260
"2607","Defending Your Life",16371128,"PG",1991,"112",7.2,97,19279,32
"2608","Defendor",44462,"R",2010,"101",6.8,74,36872,23
"2609","Defiance",28644813,"R",2008,"103",6.1,58,1175,186
"2610","Delgo",694782,"PG",2008,"94",4.3,11,3077,44
"2611","Delhi Belly",1532594,"NR",2011,"103",7.5,88,30261,17
"2612","Deli Man",502294,"PG-13",2015,"92",7.1,81,522,37
"2613","Delicatessen",1794187,"R",1992,"99",7.6,89,85609,55
"2614","Delivery Man",30664106,"PG-13",2013,"105",6.3,39,79688,147
"2615","De-Lovely",13456633,"PG-13",2004,"125",6.6,48,11432,156
"2616","Delta Farce",8130530,"PG-13",2007,"90",3.6,5,11224,44
"2617","The Delta Force",17768900,"R",1986,"125",5.6,18,20587,11
"2618","Delta of Venus",63174,"R",1995,"102",4.7,0,2189,5
"2619","Demolition",1978592,"R",2016,"87",5.9,53,22,204
"2620","Demolition Man",58055768,"R",1993,"115",6.7,60,176412,43
"2621","Demon",104038,"R",2016,"62",7.7,92,6,71
"2622","Den of Thieves",44947622,"R",2018,"140",7,41,111814,135
"2623","Denial",4073489,"PG-13",2016,"103",5,82,271,164
"2624","Dennis the Menace",51270765,"PG",1993,"118",4.4,27,434,26
"2625","The Departed",132384315,"R",2006,"151",8.5,91,1311419,280
"2626","The Circle",440554,"NR",2001,"71",6.4,100,646,23
"2627","Derrida",157200,"NR",2002,"84",6.5,82,959,34
"2628","The Descent",26024456,"R",2006,"99",7.2,85,223525,179
"2629","Desert Bayou",14350,"NR",2007,"71",6.4,78,48,23
"2630","Desert Blue",100590,"R",1999,"90",6.1,37,2366,19
"2631","Desert Dancer",155271,"PG-13",2015,"104",6.2,33,1944,43
"2632","Desert Hearts",2492088,"R",1986,"91",7,95,6393,22
"2633","Desierto",2002036,"R",2016,"88",6.1,63,10062,91
"2634","Desperate Measures",13806137,"R",1998,"\N",6.4,19,19,31
"2635","Desperately Seeking Susan",27398584,"PG-13",1985,"104",6.1,83,23874,30
"2636","Despicable Me 2",368061265,"PG",2013,"98",7.3,75,399430,185
"2637","Despicable Me 3",264624300,"PG",2017,"89",6.2,58,135318,192
"2638","Destiny Turns on the Radio",1176982,"R",1995,"102",4.5,17,2451,18
"2639","Destroyer",1533324,"R",2018,"99",6.3,73,1223,265
"2640","Detachment",72689,"NR",2012,"98",7.7,57,86092,72
"2641","Deterrence",145071,"R",2000,"104",6.4,46,2756,39
"2642","Detour",1788,"NR",2017,"68",7.3,100,17677,29
"2643","Detroit",16790139,"R",2017,"95",5.3,82,84,300
"2644","Detroit Rock City",4217115,"R",1999,"95",6.8,48,39521,40
"2645","Detropia",390024,"NR",2012,"90",6.5,86,1604,42
"2646","Deuce Bigalow: Male Gigolo",65538755,"R",1999,"88",5.7,22,75773,76
"2647","Deuce Bigalow: European Gigolo",22400154,"R",2005,"83",4.6,9,51205,100
"2648","Deuces Wild",6080065,"R",2002,"96",5.6,3,7537,75
"2649","Devil",33601190,"PG-13",2010,"80",6.3,50,146607,98
"2650","The Devil and Max Devlin",16000000,"PG",1981,"96",5,18,1335,11
"2651","The Devil Came on Horseback",132782,"NR",2007,"88",7.7,96,1596,54
"2652","Devil in a Blue Dress",16140822,"R",1995,"102",6.7,88,20833,59
"2653","The Devil's Advocate",60944660,"R",1997,"144",7.5,63,370139,56
"2654","Devil's Due",15821461,"R",2014,"90",4.6,18,73,56
"2655","The Devil's Own",42868348,"R",1997,"111",6.2,35,66191,40
"2656","The Devil's Rejects",17044981,"R",2005,"107",6.7,54,100428,138
"2657","The Dhamma Brothers",40492,"NR",2008,"76",7.5,83,461,23
"2658","Dheepan",261819,"R",2016,"115",7.2,87,15983,125
"2659","Diana: Queen of Hearts",335359,"PG-13",2013,"90",6.7,8,52,106
"2660","Diane",336166,"NR",2019,"110",6.1,93,493,94
"2661","Diary of a Wimpy Kid",64003625,"PG",2010,"94",6.2,54,50959,106
"2662","Diary of a Wimpy Kid: Dog Days",49008662,"PG",2012,"94",6.3,52,26287,75
"2663","Dickie Roberts: Former Child Star",22738671,"PG-13",2003,"98",5.5,22,14786,121
"2664","Die Another Day",160942139,"PG-13",2002,"133",6.1,57,219522,221
"2665","Die Hard",83519093,"R",1988,"132",8.2,94,869573,77
"2666","Diggers",66517,"R",2007,"58",5.3,70,31,56
"2667","Digging to China",43961,"PG",1998,"98",6.7,43,2779,7
"2668","Digging Up the Marrow",10969,"NR",2015,"89",5.8,60,5374,20
"2669","Diggstown",4836637,"R",1992,"98",6.9,60,7555,15
"2670","Diminished Capacity",21659,"NR",2008,"92",5.5,35,1285,31
"2671","Diner",14099953,"R",1982,"110",7.1,93,21340,40
"2672","Dinner for Schmucks",73026337,"PG-13",2010,"114",5.9,42,107056,190
"2673","Dirty Dancing",64577242,"PG-13",1987,"100",7,68,231415,69
"2674","Dirty Dancing: Havana Nights",14161590,"PG-13",2004,"86",5.9,23,28349,108
"2675","Dirty Girl",55125,"R",2011,"90",6.4,33,10911,40
"2676","Dirty Grandpa",35593113,"R",2016,"102",5.9,11,124147,135
"2677","Dirty Love",36099,"R",2005,"95",4.5,6,163,31
"2678","Dirty Pretty Things",8112414,"R",2003,"97",7.3,94,42696,142
"2679","Dirty Rotten Scoundrels",42039085,"PG",1988,"110",7.4,89,72058,37
"2680","A Dirty Shame",1339668,"NC17",2004,"89",5.1,53,13001,117
"2681","Dirty Wars",384473,"NR",2013,"87",7.4,85,9269,71
"2682","The Disappearance of Alice Creed",166980,"R",2010,"100",6.7,81,26738,98
"2683","Disappearances",7506,"PG-13",2007,"118",4.9,52,635,21
"2684","Disaster Movie",14190901,"PG-13",2008,"87",1.9,1,91622,74
"2685","Disclosure",83015089,"R",1994,"128",6.1,59,50585,61
"2686","Disconnect",1436900,"R",2013,"112",4.4,70,257,79
"2687","Disgrace",69705,"R",2009,"119",6.5,83,5546,60
"2688","The Dish",2552992,"PG-13",2001,"101",7.2,96,16445,99
"2689","Disobedience",3498782,"NR",2018,"114",6.6,84,31419,204
"2690","Disorganized Crime",7723506,"R",1989,"98",6.2,50,2389,6
"2691","District 9",115646235,"R",2009,"112",7.9,90,678796,312
"2692","Disturbia",80209692,"PG-13",2007,"105",6.8,69,235851,175
"2693","Disturbing Behavior",17514980,"R",1998,"84",5.6,34,23109,38
"2694","Disturbing the Peace",25287,"R",2016,"\N",6.2,NA,15,NA
"2695","William Kunstler: Disturbing the Universe",46078,"NR",2009,"85",7.7,79,329,28
"2696","Divergent",150947895,"PG-13",2014,"139",6.6,41,458837,234
"2697","Divide and Conquer",38510,"NR",2018,"107",7.1,90,571,51
"2698","Divided We Fall",1328815,"PG-13",2001,"107",3.2,90,46,62
"2699","Divine Secrets of the Ya-Ya Sisterhood",69599016,"PG-13",2002,"116",6,45,19950,146
"2700","Django",56556,"NR",2018,"91",7.2,92,28182,13
"2701","Django Unchained",162805434,"R",2012,"165",8.4,87,1531509,288
"2702","Do I Sound Gay?",119388,"NR",2015,"77",5.9,81,1954,47
"2703","Do Knot Disturb",213525,"NR",2009,"126",3.7,20,1221,5
"2704","Do Not Resist",72791,"NR",2016,"72",7,91,1138,44
"2705","Do the Right Thing",27545445,"R",1989,"120",7.9,93,102267,96
"2706","Do You Believe?",12985600,"PG-13",2015,"120",6,25,7841,20
"2707","DOA: Dead or Alive",480813,"PG-13",2007,"87",4.8,33,44980,46
"2708","Doc Hollywood",54830779,"PG-13",1991,"104",6.3,68,37240,34
"2709","Doctor Dolittle",144156605,"G",1998,"152",6.1,29,9606,21
"2710","Doctor Strange",232641920,"PG-13",2016,"115",7.5,89,733598,373
"2711","Dog Days",13031,"PG",2003,"\N",7.1,63,24,67
"2712","Dog Eat Dog",80,"NR",2009,"93",5,50,229,70
"2713","Dog Park",250147,"R",1999,"91",5.2,36,2293,25
"2714","Dogtown and Z-Boys",1300682,"PG-13",2002,"91",7.6,92,12972,98
"2715","Dogville",1535286,"R",2004,"178",8,70,148969,168
"2716","Dolores Claiborne",24361867,"R",1995,"132",7.4,84,44068,44
"2717","Dolphin Tale",72286779,"PG",2011,"113",6.8,81,24473,113
"2718","Dolphin Tale 2",42024533,"PG",2014,"107",6.3,66,9277,87
"2719","Dom Hemingway",523511,"R",2014,"93",6.1,56,26818,127
"2720","Domestic Disturbance",45246095,"PG-13",2001,"89",5.6,24,27549,100
"2721","Dominion",251495,"R",2005,"117",5.2,30,11733,46
"2722","Domino",10169202,"R",2005,"\N",6.3,18,6,158
"2723","Don 2",3680306,"PG",2011,"148",7,69,53283,13
"2724","Don Jon",24477704,"R",2013,"90",6.5,79,239960,202
"2725","Don McKay",13722,"R",2010,"87",5.8,38,2410,26
"2726","Don Verdean",31309,"PG-13",2015,"90",5.4,29,5400,38
"2727","Donkey Punch",19367,"R",2009,"99",5.2,52,11210,52
"2728","Donnie Brasco",41909762,"R",1997,"127",7.7,88,307667,57
"2729","Donnie Darko",1478493,"R",2001,"113",8,86,795840,117
"2730","Donnybrook",26284,"R",2019,"\N",6,39,35,46
"2731","Don't Be Afraid of the Dark",24046682,"NR",2011,"74",6.5,71,3787,7
"2732","Don't Breathe",89217875,"R",2016,"86",6.4,88,63,232
"2733","Don't Come Knocking",440793,"R",2006,"122",6.6,43,7662,101
"2734","Don't Say a Word",55001642,"R",2001,"113",6.3,24,52822,114
"2735","Don't Stop Believin': Everyman's Journey",61018,"R",2013,"105",8.3,64,53,45
"2736","Don't Tell Mom the Babysitter's Dead",25196249,"PG-13",1991,"102",6.3,33,34018,30
"2737","Don't Think Twice",4417667,"R",2016,"92",6.7,98,17718,135
"2738","Doom",28212337,"R",2005,"105",5.2,19,114006,138
"2739","The Doom Generation",284785,"R",1995,"83",6,47,16217,34
"2740","Doomsday",11008770,"R",2008,"60",6.5,51,117,73
"2741","The Doors",34416893,"R",1991,"140",7.2,57,93022,61
"2742","Dopamine",69544,"G",2003,"79",5.9,52,1158,52
"2743","Dope",17506470,"R",2015,"90",4.7,89,95,158
"2744","Dot the I",307486,"R",2005,"92",6.7,25,8544,59
"2745","Double Dragon",2341309,"PG-13",1994,"96",3.8,13,13441,16
"2746","Double Impact",30102717,"R",1991,"110",5.6,35,41283,20
"2747","Double Team",11438337,"R",1997,"93",4.8,11,34687,19
